Utility ID,Utility Name,County,Latitude,Longitude
13402,Nevada Irrigation District,Placer,39.134259,-120.953341
12397,Metropolitan Water District of S CA,Los Angeles,34.01135,-118.4168
17609,Southern California Edison Co,Fresno,37.147926,-119.2567
12745,Modesto Irrigation District,Stanislaus,37.62936,-120.93139
19281,Turlock Irrigation District,Stanislaus,37.611461,-120.594678
19281,Turlock Irrigation District,Stanislaus,37.621536,-120.746247
14328,Pacific Gas & Electric Co.,Shasta,40.45193,-121.86215
14328,Pacific Gas & Electric Co.,Placer,39.215979,-120.80355
19586,Utica Water & Power Authority,Calaveras,38.071944,-120.539444
14328,Pacific Gas & Electric Co.,Fresno,36.909137,-119.087712
14328,Pacific Gas & Electric Co.,Fresno,36.908907,-119.087556
14328,Pacific Gas & Electric Co.,Plumas,40.007445,-121.249438
14328,Pacific Gas & Electric Co.,Plumas,39.91062,-121.327692
14328,Pacific Gas & Electric Co.,Plumas,40.175656,-121.190663
14328,Pacific Gas & Electric Co.,Plumas,40.085476,-121.148241
14328,Pacific Gas & Electric Co.,Plumas,40.085997,-121.149373
14328,Pacific Gas & Electric Co.,Butte,39.788877,-121.657383
14328,Pacific Gas & Electric Co.,El Dorado,38.771764,-120.813239
14328,Pacific Gas & Electric Co.,Butte,39.605043,-121.600525
14328,Pacific Gas & Electric Co.,Shasta,40.404645,-122.121904
14328,Pacific Gas & Electric Co.,Shasta,40.570817,-122.02093
14328,Pacific Gas & Electric Co.,Butte,39.825907,-121.409687
14328,Pacific Gas & Electric Co.,Butte,39.869265,-121.631819
14328,Pacific Gas & Electric Co.,Nevada,39.29807,-120.8443
14328,Pacific Gas & Electric Co.,Placer,39.256873,-120.767437
14328,Pacific Gas & Electric Co.,Placer,39.257388,-120.767046
14328,Pacific Gas & Electric Co.,Placer,39.216985,-120.835587
25915,El Dorado Irrigation District,El Dorado,38.793574,-120.619152
14328,Pacific Gas & Electric Co.,Amador,38.330985,-120.669901
14328,Pacific Gas & Electric Co.,Fresno,36.927424,-119.02025
14328,Pacific Gas & Electric Co.,Placer,38.956985,-121.041932
14328,Pacific Gas & Electric Co.,Plumas,40.268712,-121.089479
14328,Pacific Gas & Electric Co.,Shasta,40.929297,-121.544462
14328,Pacific Gas & Electric Co.,Shasta,40.960675,-121.548657
14328,Pacific Gas & Electric Co.,Humboldt,40.7415,-124.2103
14328,Pacific Gas & Electric Co.,San Francisco,37.733611,-122.389722
14328,Pacific Gas & Electric Co.,Tehama,40.400988,-121.965502
14328,Pacific Gas & Electric Co.,Shasta,40.992295,-121.975182
14328,Pacific Gas & Electric Co.,Fresno,37.092486,-119.552826
14328,Pacific Gas & Electric Co.,Shasta,40.677827,-121.873253
14328,Pacific Gas & Electric Co.,Fresno,36.888166,-119.158777
14328,Pacific Gas & Electric Co.,Butte,39.698755,-121.57096
12312,Merced Irrigation District,Merced,37.52301,-120.329905
54802,Dynegy -Moss Landing LLC,Monterey,36.804837,-121.782241
19586,Utica Water & Power Authority,Calaveras,38.147093,-120.446396
14328,Pacific Gas & Electric Co.,Nevada,39.2364,-121.271741
14328,Pacific Gas & Electric Co.,Tuolumne,38.032103,-120.326537
14328,Pacific Gas & Electric Co.,Shasta,40.99084,-121.498243
14328,Pacific Gas & Electric Co.,Shasta,40.997448,-121.748139
14328,Pacific Gas & Electric Co.,Shasta,40.986361,-121.84944
14328,Pacific Gas & Electric Co.,Shasta,40.986197,-121.977594
14328,Pacific Gas & Electric Co.,Shasta,40.922568,-121.992906
14328,Pacific Gas & Electric Co.,Shasta,40.847462,-121.990798
14328,Pacific Gas & Electric Co.,Butte,39.722892,-121.469814
14328,Pacific Gas & Electric Co.,Mendocino,39.361786,-123.127934
14328,Pacific Gas & Electric Co.,Plumas,39.90521,-121.345226
14328,Pacific Gas & Electric Co.,Madera,37.203233,-119.497508
14328,Pacific Gas & Electric Co.,Madera,37.253718,-119.519352
14328,Pacific Gas & Electric Co.,Amador,38.497914,-120.21811
14328,Pacific Gas & Electric Co.,Tehama,40.395396,-121.879186
14328,Pacific Gas & Electric Co.,Nevada,39.324613,-120.644807
14328,Pacific Gas & Electric Co.,Nevada,39.324592,-120.645375
14328,Pacific Gas & Electric Co.,Nevada,39.337679,-120.635467
14328,Pacific Gas & Electric Co.,Tuolumne,38.18653,-120.11168
14328,Pacific Gas & Electric Co.,Tuolumne,38.139048,-120.370325
7160,Geysers Power Co LLC,Sonoma,38.777,-122.745
14328,Pacific Gas & Electric Co.,Amador,38.449291,-120.492645
14328,Pacific Gas & Electric Co.,Tulare,36.163076,-118.707104
14328,Pacific Gas & Electric Co.,Shasta,40.459111,-121.86708
14328,Pacific Gas & Electric Co.,Amador,38.420898,-120.549572
14328,Pacific Gas & Electric Co.,Placer,38.889862,-121.098525
14328,Pacific Gas & Electric Co.,Madera,37.15105,-119.504724
14354,PacifiCorp,Siskiyou,41.978914,-122.335317
14354,PacifiCorp,Siskiyou,41.975716,-122.358127
14354,PacifiCorp,Siskiyou,41.985605,-122.360455
14354,PacifiCorp,Siskiyou,41.932981,-122.43678
13960,NRG Cabrillo Power Ops Inc,San Diego,32.681667,-117.120277
13960,NRG Cabrillo Power Ops Inc,San Diego,32.7958,-116.9722
13960,NRG Cabrillo Power Ops Inc,San Diego,33.1361,-117.3364
13960,NRG Cabrillo Power Ops Inc,San Diego,32.834,-117.1338
13960,NRG Cabrillo Power Ops Inc,San Diego,32.8761,-117.1664
13960,NRG Cabrillo Power Ops Inc,San Diego,32.681667,-117.120277
13960,NRG Cabrillo Power Ops Inc,San Diego,32.705,-117.190277
16609,San Diego Gas & Electric Co,San Diego,32.697222,-117.114722
9216,Imperial Irrigation District,Imperial,32.673097,-115.392026
22148,AES Alamitos LLC,Los Angeles,33.7688,-118.1009
12397,Metropolitan Water District of S CA,Los Angeles,34.0969,-118.4795
17609,Southern California Edison Co,Fresno,37.2042,-119.2396
17609,Southern California Edison Co,Fresno,37.2,-119.3069
17609,Southern California Edison Co,Fresno,37.148517,-119.386623
17609,Southern California Edison Co,Madera,37.139,-119.4898
17609,Southern California Edison Co,Fresno,37.2096,-119.3289
17609,Southern California Edison Co,Fresno,37.200062,-119.30681
17609,Southern California Edison Co,Inyo,37.273581,-118.573339
17609,Southern California Edison Co,Inyo,37.301962,-118.531957
17609,Southern California Edison Co,Inyo,37.323035,-118.501714
17609,Southern California Edison Co,Inyo,37.3344,-118.4797
17609,Southern California Edison Co,Inyo,37.3499,-118.4628
17609,Southern California Edison Co,Kern,35.588069,-118.524804
15908,"GenOn California South, LP",San Bernardino,34.8606,-116.8539
13584,NRG El Segundo Operations Inc,Los Angeles,33.909804,-118.424172
15908,"GenOn California South, LP",San Bernardino,34.09118,-117.52663
17609,Southern California Edison Co,San Bernardino,34.155162,-117.397119
23693,AES Huntington Beach LLC,Orange,33.6439,-117.9792
17609,Southern California Edison Co,Tulare,36.461326,-118.87988
17609,Southern California Edison Co,Tulare,36.465066,-118.862023
